item,price
Egg Drop Soup (Small),2.25
Egg Drop Soup (Large),3.25
Chicken Noodle Soup (Small),2.25
Chicken Noodle Soup (Large),3.55
Wonton Soup (Small),2.25
Wonton Soup (Large),3.95
Hot & Sour Soup (for 2-3),6.95
Egg Roll (1),1.55
Vegetable Spring Roll (1),1.55
Shrimp Spring Roll (1),1.75
Onion Rings,3.55
Fried Wontons (10),3.55
Crab Rangoon (5),3.55
Chinese Dumplings (5),4.55
Chicken or Beef Kebob (2),5.55
Jumbo Fried Shrimp (5),6.55
Fried Chicken Wings (10),7.55
Jumbo Tempura Shrimp (5),6.55
BBQ Ribs (Small),6.95
BBQ Ribs (Large),9.95
Tossed Salad,2.75
Grilled Beef Salad,7.55
Grilled Chicken Salad,6.55
Shrimp Salad,6.55
Seafood Treasure (Clay Pot),15.95
Fresh Scallops,na
Lamb with Basil🌶️,14.95
Slices of tender lamb,na
Walnut Shrimp/Scallop ,14.95
place,na
Black Pepper Scallops,14.95
place,na
"Salt Baked Shrimp, Scallops and Squid with Chili🌶️",14.95
place,na
Spicy Broad Bean Flavored Fish🌶️,13.95
place,na
Fried Fish (Thai Style)🌶️,14.95
place,na
Thai Style Basil Chicken or Tofu🌶️,11.95
place,na
Thai Style Basil Shrimp or Fish🌶️,14.95
place,na
"Temperature Hot Sizzling Plate (Beef, Chicken, or Pork)",13.95
place,na
Orange Beef🌶️,11.95
place,na
Beef with Cumin🌶️,12.95
place,na
Lamb with Cumin🌶️,14.95
place,na
Pork Chop with Chili and Spiced Salt🌶️,11.95
place,na
General Tso Chicken🌶️,10.95
